;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(797, 168);(819, 213);(774, 214);(707, 258);(639, 258);(864, 213);(931, 281);(931, 348);(796, 393);(774, 505);(819, 528);(864, 393);(887, 505);(909, 618);(797, 168);(819, 168);(774, 190);(841, 168);(0, 0)
1;(796, 168);(819, 213);(774, 213);(706, 280);(639, 281);(864, 213);(909, 281);(909, 348);(774, 371);(752, 483);(796, 550);(842, 371);(886, 484);(909, 618);(774, 168);(797, 146);(774, 168);(819, 146);(0, 0)
2;(774, 168);(797, 213);(752, 213);(707, 281);(639, 326);(842, 213);(887, 281);(909, 348);(774, 371);(729, 483);(752, 573);(842, 371);(864, 483);(887, 618);(774, 168);(796, 146);(752, 168);(819, 146);(0, 0)
3;(752, 168);(796, 214);(730, 235);(707, 303);(662, 349);(841, 213);(886, 281);(887, 349);(752, 371);(707, 483);(707, 595);(841, 371);(864, 483);(886, 596);(752, 168);(774, 146);(730, 168);(797, 146);(0, 0)
4;(752, 169);(774, 236);(729, 236);(707, 326);(662, 393);(819, 235);(864, 303);(886, 371);(752, 393);(685, 483);(684, 596);(819, 393);(842, 505);(864, 618);(729, 168);(752, 168);(729, 169);(774, 168);(0, 0)
5;(752, 169);(774, 236);(729, 236);(707, 326);(662, 393);(819, 235);(864, 303);(865, 371);(752, 393);(685, 483);(684, 596);(819, 393);(842, 505);(864, 618);(729, 168);(752, 168);(729, 169);(774, 168);(0, 0)
6;(729, 191);(752, 236);(707, 258);(707, 326);(684, 394);(819, 236);(842, 304);(864, 393);(730, 394);(684, 506);(639, 618);(819, 394);(842, 506);(864, 618);(729, 190);(730, 169);(707, 191);(752, 169);(0, 0)
7;(707, 191);(751, 258);(706, 280);(685, 348);(685, 416);(797, 258);(841, 326);(842, 393);(729, 416);(662, 506);(617, 618);(797, 416);(841, 528);(864, 640);(707, 191);(729, 191);(685, 213);(751, 191);(0, 0)
8;(685, 213);(729, 280);(684, 281);(684, 349);(684, 415);(774, 258);(819, 326);(819, 394);(707, 416);(640, 528);(595, 619);(774, 416);(819, 528);(864, 640);(684, 191);(707, 191);(662, 213);(729, 191);(0, 0)
9;(662, 213);(707, 280);(662, 281);(662, 349);(662, 393);(752, 258);(797, 326);(797, 394);(684, 416);(617, 528);(573, 641);(752, 416);(797, 528);(864, 619);(662, 191);(684, 191);(640, 213);(707, 191);(0, 0)
10;(661, 191);(684, 258);(639, 280);(640, 348);(640, 393);(729, 258);(774, 326);(775, 393);(662, 416);(617, 506);(572, 641);(729, 416);(775, 506);(842, 618);(640, 191);(662, 191);(617, 213);(684, 191);(0, 0)
11;(661, 191);(684, 258);(639, 280);(640, 348);(640, 393);(729, 258);(774, 326);(775, 393);(662, 416);(617, 506);(572, 641);(729, 416);(775, 506);(842, 618);(640, 191);(662, 191);(618, 213);(684, 191);(0, 0)
12;(618, 191);(662, 258);(617, 259);(617, 348);(617, 393);(707, 258);(752, 326);(752, 393);(639, 416);(595, 506);(572, 641);(707, 415);(752, 506);(819, 618);(617, 190);(639, 169);(617, 191);(662, 191);(0, 0)
13;(617, 190);(639, 258);(594, 258);(595, 326);(595, 393);(684, 236);(729, 325);(729, 393);(617, 415);(572, 506);(572, 641);(684, 415);(729, 506);(774, 618);(595, 168);(617, 168);(594, 191);(639, 169);(0, 0)
14;(595, 169);(617, 236);(572, 258);(572, 326);(572, 393);(662, 236);(707, 304);(707, 371);(595, 394);(572, 506);(572, 641);(662, 394);(684, 506);(707, 618);(594, 168);(595, 168);(572, 190);(617, 169);(0, 0)
15;(572, 169);(595, 236);(550, 258);(550, 326);(550, 393);(640, 236);(685, 304);(684, 371);(572, 394);(550, 506);(572, 640);(640, 393);(640, 506);(662, 596);(572, 168);(594, 168);(550, 190);(617, 168);(0, 0)
16;(550, 169);(594, 236);(528, 258);(527, 326);(527, 393);(639, 236);(662, 304);(662, 371);(550, 393);(528, 506);(572, 640);(617, 394);(617, 506);(617, 595);(550, 168);(572, 168);(528, 190);(594, 168);(0, 0)
17;(550, 169);(594, 236);(528, 258);(527, 326);(527, 393);(639, 236);(662, 304);(662, 371);(550, 393);(528, 506);(572, 640);(617, 394);(617, 506);(617, 595);(550, 168);(572, 168);(528, 190);(594, 168);(0, 0)
18;(549, 169);(572, 258);(527, 258);(527, 326);(505, 394);(617, 236);(640, 326);(617, 393);(549, 394);(527, 506);(550, 619);(595, 415);(572, 528);(550, 618);(528, 168);(550, 168);(527, 190);(572, 169);(0, 0)
19;(527, 191);(550, 258);(505, 258);(505, 348);(483, 393);(595, 258);(617, 326);(595, 393);(527, 415);(505, 506);(550, 618);(572, 416);(550, 528);(549, 618);(527, 169);(549, 169);(505, 191);(572, 191);(0, 0)
20;(527, 191);(528, 258);(504, 259);(483, 348);(482, 394);(572, 258);(595, 348);(550, 393);(505, 415);(482, 506);(527, 618);(550, 416);(527, 506);(505, 618);(505, 191);(527, 190);(504, 191);(550, 191);(0, 0)
21;(505, 191);(527, 259);(482, 281);(482, 348);(438, 415);(572, 258);(572, 348);(527, 393);(504, 394);(438, 483);(483, 618);(550, 415);(505, 506);(504, 596);(504, 191);(505, 191);(482, 191);(528, 191);(0, 0)
22;(482, 213);(505, 280);(482, 281);(460, 348);(437, 393);(550, 259);(550, 348);(482, 371);(482, 394);(415, 483);(460, 596);(528, 416);(505, 506);(482, 618);(482, 191);(483, 191);(527, 236);(527, 213);(0, 0)
23;(482, 213);(505, 280);(482, 281);(460, 348);(437, 393);(550, 259);(550, 348);(482, 371);(482, 394);(415, 483);(460, 596);(528, 416);(505, 506);(482, 618);(482, 191);(483, 191);(527, 236);(527, 213);(0, 0)
24;(460, 213);(505, 259);(460, 281);(437, 348);(393, 371);(528, 258);(527, 326);(459, 348);(460, 415);(415, 483);(438, 596);(527, 416);(483, 528);(482, 618);(460, 191);(482, 191);(482, 213);(505, 191);(0, 0)
25;(438, 191);(482, 258);(438, 259);(437, 326);(415, 326);(527, 258);(505, 325);(437, 326);(460, 393);(393, 483);(415, 596);(505, 415);(482, 506);(482, 618);(438, 191);(460, 190);(482, 213);(483, 191);(0, 0)
