;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 168);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 56);(550, 56);(505, 78);(572, 78);(0, 0)
1;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 168);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 56);(550, 56);(505, 78);(572, 78);(0, 0)
2;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 168);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 56);(550, 56);(505, 78);(572, 78);(0, 0)
3;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 168);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 56);(550, 56);(505, 78);(572, 78);(0, 0)
4;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 168);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 56);(550, 56);(505, 78);(572, 78);(0, 0)
5;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 169);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 78);(550, 56);(505, 78);(572, 78);(0, 0)
6;(528, 78);(549, 168);(482, 168);(460, 280);(460, 370);(595, 169);(617, 281);(617, 371);(505, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 78);(550, 78);(505, 78);(572, 78);(0, 0)
7;(528, 78);(549, 168);(482, 168);(460, 281);(460, 370);(595, 169);(617, 281);(617, 371);(504, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 78);(550, 78);(505, 78);(572, 79);(0, 0)
8;(528, 78);(549, 168);(482, 168);(460, 281);(460, 370);(595, 169);(617, 281);(617, 371);(504, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 78);(550, 78);(505, 78);(572, 79);(0, 0)
9;(528, 78);(549, 169);(482, 168);(460, 281);(460, 371);(595, 169);(617, 281);(617, 371);(504, 371);(505, 506);(527, 640);(572, 371);(572, 506);(550, 640);(527, 78);(550, 78);(505, 79);(572, 79);(0, 0)
