;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(460, 146);(392, 169);(370, 190);(303, 236);(370, 303);(415, 190);(415, 258);(460, 236);(370, 348);(347, 483);(347, 618);(393, 348);(460, 461);(460, 618);(459, 145);(460, 146);(415, 123);(572, 664);(0, 0)
1;(460, 146);(393, 190);(392, 190);(325, 236);(370, 281);(415, 191);(437, 258);(482, 236);(370, 348);(347, 483);(347, 618);(393, 349);(460, 483);(482, 618);(460, 145);(460, 146);(415, 123);(572, 663);(0, 0)
2;(460, 146);(393, 190);(392, 190);(325, 236);(392, 303);(415, 191);(437, 236);(482, 235);(370, 348);(348, 483);(347, 618);(393, 348);(460, 483);(504, 618);(460, 145);(460, 146);(437, 123);(594, 663);(0, 0)
3;(460, 146);(415, 190);(393, 190);(325, 236);(392, 303);(415, 191);(437, 236);(482, 214);(370, 348);(348, 483);(347, 618);(415, 348);(460, 483);(505, 618);(460, 145);(482, 146);(437, 123);(460, 124);(0, 0)
4;(482, 146);(415, 190);(415, 190);(347, 258);(393, 303);(437, 191);(459, 236);(482, 213);(392, 349);(348, 483);(347, 618);(415, 349);(460, 483);(527, 618);(482, 145);(482, 146);(438, 123);(460, 145);(0, 0)
5;(482, 146);(415, 190);(415, 191);(347, 258);(415, 303);(437, 191);(460, 236);(482, 213);(393, 349);(370, 483);(347, 618);(415, 349);(482, 484);(528, 618);(482, 146);(482, 146);(459, 124);(460, 146);(0, 0)
6;(483, 146);(437, 191);(415, 191);(348, 258);(415, 303);(460, 191);(460, 235);(504, 213);(415, 348);(370, 461);(347, 596);(437, 349);(482, 505);(549, 618);(483, 145);(505, 146);(460, 124);(482, 124);(0, 0)
7;(505, 146);(438, 191);(437, 191);(370, 258);(437, 303);(460, 191);(482, 214);(460, 326);(415, 348);(370, 461);(347, 596);(438, 349);(504, 506);(550, 618);(504, 146);(483, 146);(460, 124);(482, 146);(0, 0)
8;(505, 146);(460, 191);(438, 191);(392, 258);(438, 303);(482, 191);(370, 258);(460, 304);(437, 348);(392, 461);(347, 596);(460, 349);(505, 505);(550, 618);(505, 145);(505, 146);(482, 124);(482, 168);(0, 0)
9;(527, 146);(460, 191);(460, 191);(393, 258);(460, 303);(482, 191);(482, 326);(460, 326);(438, 349);(393, 483);(348, 596);(482, 370);(505, 505);(550, 618);(527, 146);(505, 146);(483, 123);(505, 146);(0, 0)
10;(528, 146);(482, 190);(460, 190);(415, 258);(482, 303);(483, 191);(415, 236);(482, 304);(460, 348);(415, 461);(348, 596);(482, 349);(527, 483);(550, 618);(527, 145);(527, 146);(505, 123);(527, 123);(0, 0)
11;(550, 146);(483, 190);(482, 190);(437, 258);(483, 303);(505, 191);(460, 258);(505, 325);(460, 348);(415, 461);(370, 596);(505, 348);(527, 483);(550, 618);(549, 145);(528, 146);(505, 123);(527, 124);(0, 0)
12;(550, 146);(505, 169);(504, 190);(438, 258);(505, 303);(527, 191);(437, 258);(527, 303);(482, 348);(437, 483);(370, 596);(505, 348);(528, 483);(572, 618);(550, 124);(550, 146);(527, 123);(527, 168);(0, 0)
13;(572, 146);(505, 169);(505, 169);(460, 258);(527, 303);(527, 191);(460, 258);(527, 326);(504, 348);(438, 483);(392, 596);(527, 348);(528, 483);(572, 618);(572, 145);(550, 146);(528, 123);(550, 124);(0, 0)
14;(572, 146);(527, 169);(527, 169);(460, 236);(527, 303);(528, 190);(460, 258);(549, 303);(505, 348);(460, 483);(393, 595);(527, 348);(550, 483);(572, 618);(572, 124);(572, 146);(549, 123);(549, 146);(0, 0)
15;(594, 146);(528, 169);(528, 169);(482, 236);(550, 303);(550, 190);(482, 236);(550, 325);(527, 348);(505, 483);(415, 596);(549, 348);(550, 484);(572, 619);(594, 145);(573, 146);(572, 123);(572, 124);(0, 0)
16;(595, 146);(549, 169);(549, 169);(483, 258);(550, 303);(572, 191);(572, 236);(550, 304);(528, 348);(527, 483);(438, 595);(550, 348);(550, 483);(572, 619);(595, 145);(594, 146);(572, 123);(572, 146);(0, 0)
17;(595, 146);(550, 169);(549, 190);(504, 258);(550, 303);(572, 191);(572, 236);(572, 304);(549, 348);(527, 484);(460, 596);(550, 348);(550, 484);(572, 619);(595, 124);(617, 146);(572, 123);(594, 123);(0, 0)
18;(617, 146);(550, 190);(550, 190);(505, 258);(572, 303);(572, 191);(572, 258);(572, 325);(550, 348);(550, 484);(482, 596);(550, 348);(550, 484);(572, 618);(617, 145);(595, 146);(573, 123);(595, 124);(0, 0)
19;(617, 146);(572, 190);(550, 190);(505, 258);(572, 303);(572, 191);(505, 236);(572, 326);(550, 348);(550, 505);(483, 596);(572, 348);(572, 505);(572, 618);(617, 145);(617, 146);(594, 123);(684, 663);(0, 0)
20;(617, 146);(572, 169);(550, 190);(505, 258);(572, 303);(572, 190);(505, 236);(572, 325);(550, 348);(572, 484);(505, 596);(572, 348);(572, 505);(572, 618);(617, 146);(617, 146);(594, 124);(684, 663);(0, 0)
21;(617, 146);(572, 169);(572, 169);(505, 258);(572, 303);(594, 191);(505, 258);(594, 303);(550, 348);(572, 484);(527, 618);(572, 348);(572, 484);(572, 618);(617, 146);(639, 146);(594, 124);(685, 663);(0, 0)
22;(639, 146);(572, 169);(572, 169);(527, 236);(572, 303);(594, 191);(549, 258);(595, 303);(572, 348);(595, 484);(527, 618);(572, 348);(572, 483);(572, 618);(617, 146);(639, 146);(595, 123);(617, 124);(0, 0)
23;(639, 146);(572, 169);(572, 190);(527, 258);(594, 303);(594, 191);(527, 258);(595, 325);(572, 348);(617, 483);(549, 618);(572, 348);(572, 483);(550, 618);(639, 146);(617, 146);(595, 123);(617, 145);(0, 0)
