;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
0;(617, 101);(684, 123);(662, 123);(662, 235);(639, 258);(685, 123);(707, 236);(639, 281);(707, 303);(707, 438);(707, 573);(707, 303);(662, 438);(662, 574);(617, 79);(639, 78);(640, 101);(662, 78);(0, 0)
1;(617, 101);(684, 124);(662, 123);(662, 213);(639, 258);(706, 123);(707, 236);(639, 281);(706, 303);(707, 438);(729, 574);(707, 303);(662, 438);(640, 595);(617, 79);(639, 78);(640, 101);(662, 78);(0, 0)
2;(639, 101);(684, 124);(662, 123);(662, 213);(639, 258);(707, 123);(707, 235);(639, 281);(706, 303);(707, 438);(729, 574);(707, 303);(662, 438);(640, 574);(617, 100);(639, 78);(640, 101);(662, 78);(0, 0)
3;(639, 101);(684, 124);(662, 123);(662, 213);(639, 258);(707, 123);(707, 236);(640, 281);(707, 303);(707, 438);(729, 574);(707, 303);(662, 438);(640, 573);(617, 100);(639, 78);(640, 101);(662, 78);(0, 0)
4;(639, 101);(684, 124);(662, 124);(662, 213);(640, 258);(707, 123);(729, 236);(640, 281);(707, 303);(729, 438);(751, 573);(729, 303);(662, 438);(640, 573);(617, 100);(640, 79);(662, 101);(684, 78);(0, 0)
5;(639, 101);(685, 124);(662, 124);(662, 213);(640, 258);(707, 123);(729, 236);(640, 280);(707, 303);(729, 439);(752, 595);(729, 303);(662, 438);(640, 573);(618, 100);(640, 78);(662, 101);(684, 78);(0, 0)
6;(639, 101);(685, 145);(662, 124);(662, 213);(640, 258);(707, 124);(729, 236);(640, 280);(707, 303);(729, 439);(752, 595);(729, 303);(662, 438);(640, 573);(639, 79);(640, 78);(662, 101);(684, 78);(0, 0)
7;(639, 101);(685, 124);(662, 145);(662, 214);(640, 258);(707, 124);(729, 236);(640, 259);(707, 303);(729, 439);(752, 573);(729, 303);(662, 439);(640, 596);(639, 79);(640, 78);(662, 100);(684, 78);(0, 0)
8;(640, 101);(685, 124);(684, 124);(662, 214);(640, 258);(707, 123);(729, 236);(640, 259);(707, 304);(729, 439);(774, 573);(707, 304);(662, 439);(640, 596);(639, 79);(640, 78);(662, 100);(684, 78);(0, 0)
9;(640, 101);(685, 124);(684, 124);(662, 214);(640, 258);(707, 124);(729, 236);(640, 259);(707, 304);(729, 460);(774, 573);(707, 304);(662, 460);(662, 596);(639, 79);(640, 78);(662, 100);(684, 78);(0, 0)
10;(640, 100);(685, 124);(684, 124);(662, 213);(640, 258);(707, 123);(729, 236);(640, 258);(707, 304);(729, 460);(774, 573);(707, 304);(662, 460);(662, 596);(639, 79);(640, 78);(662, 79);(684, 78);(0, 0)
11;(640, 100);(685, 124);(684, 124);(662, 213);(639, 258);(707, 123);(729, 236);(640, 258);(685, 303);(707, 439);(774, 573);(707, 304);(662, 460);(662, 596);(639, 78);(640, 78);(662, 79);(684, 78);(0, 0)
12;(640, 100);(685, 124);(684, 124);(684, 213);(640, 258);(707, 123);(729, 236);(640, 258);(685, 303);(707, 460);(775, 573);(707, 304);(662, 460);(662, 596);(640, 78);(662, 78);(662, 78);(684, 78);(0, 0)
13;(640, 79);(685, 123);(662, 123);(662, 213);(639, 236);(707, 123);(729, 235);(640, 258);(685, 303);(707, 460);(774, 573);(707, 303);(684, 460);(684, 596);(639, 78);(661, 78);(662, 78);(684, 56);(0, 0)
14;(640, 79);(685, 123);(684, 123);(662, 213);(640, 236);(707, 123);(729, 235);(640, 258);(685, 303);(685, 460);(774, 551);(707, 303);(684, 460);(684, 596);(640, 78);(662, 78);(662, 78);(684, 56);(0, 0)
15;(640, 79);(685, 123);(662, 123);(662, 213);(639, 236);(707, 123);(729, 235);(640, 236);(685, 303);(685, 460);(774, 551);(707, 303);(684, 439);(685, 596);(639, 78);(662, 78);(662, 78);(684, 56);(0, 0)
16;(640, 78);(685, 123);(684, 123);(662, 213);(640, 214);(707, 123);(729, 235);(640, 236);(685, 303);(685, 460);(774, 551);(707, 303);(684, 460);(707, 596);(640, 78);(662, 78);(662, 78);(684, 56);(0, 0)
17;(640, 78);(685, 123);(684, 123);(662, 213);(640, 214);(707, 123);(729, 214);(640, 236);(685, 303);(684, 460);(752, 550);(729, 303);(685, 461);(707, 596);(640, 78);(662, 78);(662, 78);(684, 56);(0, 0)
18;(640, 78);(685, 123);(684, 123);(684, 213);(640, 214);(707, 123);(707, 235);(639, 236);(706, 303);(662, 438);(751, 551);(729, 303);(707, 460);(707, 596);(640, 78);(662, 78);(662, 78);(684, 56);(0, 0)
19;(640, 78);(685, 123);(684, 123);(684, 213);(639, 236);(707, 123);(707, 214);(639, 236);(707, 303);(662, 438);(707, 596);(729, 303);(707, 460);(729, 596);(640, 78);(662, 78);(662, 78);(684, 56);(0, 0)
20;(640, 78);(685, 123);(684, 123);(684, 213);(639, 236);(707, 123);(707, 214);(639, 236);(707, 303);(662, 438);(707, 574);(729, 303);(707, 460);(729, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
21;(640, 78);(685, 123);(684, 123);(684, 235);(639, 258);(707, 123);(707, 214);(639, 236);(707, 303);(662, 438);(684, 573);(729, 303);(707, 439);(730, 596);(640, 78);(662, 56);(662, 78);(685, 56);(0, 0)
22;(640, 78);(685, 123);(684, 123);(684, 213);(640, 214);(707, 123);(707, 214);(639, 236);(707, 303);(662, 438);(662, 573);(729, 303);(729, 460);(751, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
23;(640, 78);(685, 123);(684, 123);(662, 213);(640, 214);(707, 123);(707, 214);(639, 236);(707, 303);(662, 438);(662, 573);(729, 303);(729, 460);(752, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
24;(640, 78);(706, 123);(684, 123);(662, 213);(640, 235);(707, 123);(707, 214);(639, 236);(707, 303);(662, 416);(640, 551);(729, 303);(729, 460);(752, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
25;(640, 79);(706, 123);(684, 123);(662, 213);(640, 236);(707, 123);(707, 214);(639, 236);(707, 303);(662, 438);(639, 551);(729, 303);(730, 460);(774, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
26;(640, 79);(685, 123);(684, 123);(684, 213);(662, 213);(707, 123);(707, 235);(639, 258);(707, 303);(662, 438);(639, 551);(729, 303);(730, 460);(774, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
27;(640, 79);(685, 123);(684, 123);(662, 213);(640, 236);(707, 123);(707, 235);(639, 258);(707, 303);(662, 438);(639, 573);(729, 303);(730, 460);(775, 596);(640, 78);(662, 78);(662, 78);(685, 56);(0, 0)
28;(640, 79);(685, 123);(684, 123);(662, 213);(640, 236);(707, 123);(729, 235);(639, 258);(685, 303);(662, 438);(640, 573);(729, 303);(730, 439);(796, 596);(640, 78);(662, 78);(662, 78);(685, 78);(0, 0)
29;(662, 79);(685, 123);(684, 123);(662, 213);(640, 258);(707, 123);(729, 235);(640, 259);(685, 303);(662, 438);(640, 573);(729, 303);(730, 460);(797, 596);(640, 78);(662, 78);(662, 78);(685, 78);(0, 0)
30;(662, 79);(706, 123);(684, 123);(662, 213);(640, 258);(707, 123);(729, 235);(640, 259);(684, 303);(662, 438);(662, 573);(707, 303);(730, 460);(797, 595);(640, 78);(662, 78);(662, 78);(685, 78);(34, 0)
31;(662, 79);(706, 123);(684, 123);(662, 213);(640, 258);(707, 123);(729, 235);(640, 280);(684, 303);(662, 438);(662, 573);(707, 303);(729, 439);(797, 573);(640, 78);(662, 78);(662, 78);(685, 78);(0, 0)
